order_id,product,category,price,quantity,revenue
1,Tablet,Accessories,142,3,426
2,Monitor,Accessories,1403,3,4209
3,Phone,Electronics,735,4,2940
4,Tablet,Electronics,807,3,2421
5,Phone,Electronics,1364,1,1364
6,Monitor,Accessories,1857,4,7428
7,Tablet,Accessories,1917,3,5751
8,Phone,Accessories,287,3,861
9,Phone,Electronics,1132,2,2264
10,Monitor,Accessories,1837,2,3674
11,Laptop,Accessories,1532,3,4596
12,Phone,Accessories,823,4,3292
13,Tablet,Electronics,691,2,1382
14,Laptop,Electronics,866,3,2598
15,Tablet,Electronics,566,1,566
16,Tablet,Accessories,1119,4,4476
17,Laptop,Electronics,752,1,752
18,Phone,Electronics,1501,4,6004
19,Phone,Accessories,1374,4,5496
20,Tablet,Accessories,1063,4,4252
21,Phone,Electronics,592,1,592
22,Monitor,Electronics,662,3,1986
23,Laptop,Electronics,511,3,1533
24,Monitor,Accessories,1807,1,1807
25,Tablet,Electronics,1373,3,4119
26,Laptop,Accessories,1866,4,7464
27,Laptop,Accessories,626,2,1252
28,Monitor,Electronics,1862,2,3724
29,Phone,Electronics,1900,2,3800
30,Monitor,Electronics,1961,2,3922
31,Monitor,Electronics,388,2,776
32,Laptop,Accessories,745,2,1490
33,Tablet,Accessories,1232,1,1232
34,Laptop,Electronics,1868,3,5604
35,Laptop,Electronics,1699,2,3398
36,Laptop,Accessories,1148,4,4592
37,Tablet,Electronics,166,2,332
38,Tablet,Accessories,503,2,1006
39,Phone,Electronics,694,3,2082
40,Laptop,Electronics,871,1,871
41,Laptop,Electronics,1889,2,3778
42,Phone,Accessories,1336,1,1336
43,Phone,Accessories,128,4,512
44,Laptop,Electronics,255,4,1020
45,Phone,Accessories,1789,2,3578
46,Tablet,Accessories,1381,2,2762
47,Laptop,Electronics,1912,1,1912
48,Tablet,Electronics,1846,2,3692
49,Laptop,Accessories,375,2,750
50,Monitor,Electronics,1411,2,2822
51,Laptop,Electronics,610,3,1830
52,Laptop,Accessories,1398,1,1398
53,Laptop,Electronics,1348,1,1348
54,Tablet,Accessories,1992,3,5976
55,Laptop,Electronics,1044,2,2088
56,Tablet,Accessories,1051,2,2102
57,Monitor,Accessories,1377,2,2754
58,Monitor,Electronics,504,1,504
59,Monitor,Electronics,961,3,2883
60,Tablet,Electronics,734,1,734
61,Phone,Accessories,720,3,2160
62,Laptop,Accessories,1599,3,4797
63,Phone,Electronics,1009,3,3027
64,Laptop,Electronics,1379,2,2758
65,Laptop,Accessories,1848,4,7392
66,Phone,Accessories,1834,4,7336
67,Monitor,Electronics,1726,4,6904
68,Laptop,Electronics,1398,3,4194
69,Phone,Electronics,1613,4,6452
70,Tablet,Electronics,1151,1,1151
71,Tablet,Accessories,573,2,1146
72,Laptop,Accessories,656,3,1968
73,Laptop,Electronics,571,4,2284
74,Phone,Electronics,889,3,2667
75,Monitor,Accessories,364,3,1092
76,Monitor,Electronics,254,4,1016
77,Laptop,Accessories,1860,2,3720
78,Monitor,Electronics,609,1,609
79,Phone,Electronics,487,3,1461
80,Phone,Electronics,274,4,1096
81,Tablet,Accessories,652,3,1956
82,Laptop,Electronics,324,2,648
83,Phone,Electronics,1062,2,2124
84,Phone,Electronics,1886,3,5658
85,Phone,Accessories,1125,2,2250
86,Tablet,Accessories,1141,3,3423
87,Phone,Electronics,542,3,1626
88,Laptop,Accessories,1797,2,3594
89,Tablet,Electronics,976,1,976
90,Phone,Accessories,1134,4,4536
91,Tablet,Accessories,1865,3,5595
92,Phone,Electronics,1283,1,1283
93,Tablet,Accessories,1893,3,5679
94,Tablet,Electronics,542,4,2168
95,Tablet,Accessories,532,2,1064
96,Tablet,Accessories,1755,3,5265
97,Tablet,Accessories,1168,1,1168
98,Phone,Electronics,107,2,214
99,Phone,Electronics,1134,3,3402
100,Phone,Accessories,1611,3,4833
101,Laptop,Accessories,934,4,3736
102,Tablet,Accessories,662,3,1986
103,Phone,Accessories,1047,2,2094
104,Tablet,Electronics,468,3,1404
105,Monitor,Electronics,1808,1,1808
106,Tablet,Electronics,576,4,2304
107,Laptop,Electronics,722,3,2166
108,Tablet,Electronics,1043,3,3129
109,Tablet,Electronics,1829,4,7316
110,Phone,Accessories,1112,3,3336
111,Monitor,Electronics,1528,2,3056
112,Phone,Electronics,700,4,2800
113,Laptop,Electronics,1512,2,3024
114,Tablet,Accessories,1168,4,4672
115,Laptop,Electronics,1184,1,1184
116,Monitor,Accessories,830,4,3320
117,Phone,Electronics,655,4,2620
118,Monitor,Accessories,336,3,1008
119,Phone,Accessories,304,4,1216
120,Tablet,Accessories,231,2,462
121,Monitor,Electronics,1801,1,1801
122,Monitor,Electronics,1412,3,4236
123,Monitor,Electronics,1863,2,3726
124,Laptop,Accessories,701,2,1402
125,Phone,Accessories,599,1,599
126,Monitor,Accessories,1931,4,7724
127,Tablet,Accessories,175,2,350
128,Laptop,Accessories,1921,3,5763
129,Laptop,Electronics,1745,1,1745
130,Tablet,Electronics,1697,1,1697
131,Phone,Accessories,365,1,365
132,Tablet,Accessories,1802,2,3604
133,Phone,Electronics,496,4,1984
134,Monitor,Electronics,848,1,848
135,Monitor,Accessories,821,3,2463
136,Laptop,Accessories,442,3,1326
137,Phone,Electronics,313,4,1252
138,Phone,Accessories,814,1,814
139,Laptop,Electronics,1412,1,1412
140,Tablet,Accessories,1744,4,6976
141,Tablet,Accessories,276,2,552
142,Laptop,Accessories,1778,3,5334
143,Laptop,Electronics,1520,2,3040
144,Monitor,Electronics,1224,3,3672
145,Tablet,Accessories,1105,2,2210
146,Tablet,Electronics,1744,2,3488
147,Laptop,Accessories,286,2,572
148,Tablet,Electronics,1164,3,3492
149,Monitor,Electronics,153,1,153
150,Phone,Accessories,1127,3,3381
151,Monitor,Accessories,1320,3,3960
152,Phone,Accessories,1201,4,4804
153,Monitor,Accessories,321,1,321
154,Phone,Accessories,770,1,770
155,Phone,Accessories,436,2,872
156,Laptop,Accessories,115,2,230
157,Tablet,Electronics,1817,2,3634
158,Monitor,Electronics,1136,3,3408
159,Laptop,Electronics,381,4,1524
160,Phone,Accessories,546,1,546
161,Monitor,Accessories,686,2,1372
162,Phone,Accessories,745,4,2980
163,Laptop,Electronics,644,3,1932
164,Phone,Accessories,373,4,1492
165,Laptop,Accessories,459,4,1836
166,Phone,Electronics,786,3,2358
167,Tablet,Electronics,1846,2,3692
168,Phone,Electronics,146,2,292
169,Phone,Accessories,1306,3,3918
170,Monitor,Accessories,230,3,690
171,Monitor,Electronics,1284,1,1284
172,Phone,Accessories,210,2,420
173,Laptop,Electronics,1226,2,2452
174,Laptop,Electronics,807,1,807
175,Tablet,Accessories,370,2,740
176,Monitor,Electronics,1511,1,1511
177,Phone,Accessories,1975,3,5925
178,Tablet,Accessories,987,4,3948
179,Laptop,Accessories,1862,4,7448
180,Tablet,Electronics,1726,4,6904
181,Monitor,Electronics,938,2,1876
182,Phone,Electronics,789,3,2367
183,Phone,Electronics,192,2,384
184,Phone,Electronics,626,2,1252
185,Tablet,Accessories,706,1,706
186,Tablet,Accessories,211,2,422
187,Laptop,Electronics,520,3,1560
188,Tablet,Accessories,1848,4,7392
189,Monitor,Accessories,1614,2,3228
190,Laptop,Accessories,1886,3,5658
191,Tablet,Electronics,1135,2,2270
192,Phone,Electronics,201,3,603
193,Laptop,Electronics,459,4,1836
194,Laptop,Electronics,1614,2,3228
195,Phone,Accessories,169,3,507
196,Monitor,Accessories,657,2,1314
197,Laptop,Accessories,1719,1,1719
198,Laptop,Electronics,653,3,1959
199,Phone,Accessories,451,2,902
200,Monitor,Electronics,465,2,930
201,Tablet,Accessories,1430,4,5720
202,Tablet,Accessories,218,3,654
203,Tablet,Accessories,468,1,468
204,Tablet,Accessories,1527,3,4581
205,Phone,Accessories,615,3,1845
206,Tablet,Electronics,141,1,141
